name,brand,No.Sim,price
poco x3 pro m2102j20sg 256gb and 8gb ram,xiaomi,1,6740000
galaxy a32 sm-a325f/ds 128gb and 6gb ram,samsung,1,6239000
poco m3 m2010j19cg 128gb,xiaomi,1,4325000
iphone 12 a2404 128gb,apple,1,24700000
galaxy a12 sm-a125f/ds 64gb,samsung,1,3739000
galaxy a21s sm-a217f/ds 64gb and 4gb ram,samsung,1,4589000
iphone 12 pro max a2412 256gb,apple,1,34290000
redmi note 10 pro m2101k6g 128gb and 6gb ram,xiaomi,1,7777000
iphone se 2020 a2275 128gb,apple,1,12789000
poco f3 5g m2012k11ag 256gb and 8gb ram,xiaomi,1,9799000
redmi 9t m2010j19sg 128gb and 6gb ram,xiaomi,1,4888000
poco x3 pro m2102j20sg 128gb and 6gb ram,xiaomi,1,6199000
redmi 9a m2006c3lg 32gb,xiaomi,1,2819000
galaxy s21 ultra 5g sm-g998b/ds 256gb with 12gb ram,samsung,1,26890000
iphone 11 a2223 128gb and 4gb ram,apple,1,20499000
galaxy a51 sm-a515f/dsn 256gb,samsung,1,8880000
galaxy a12 sm-a125f/ds 128gb and 4gb ram,samsung,1,4149000
galaxy a52 sm-a525f/ds 128gb and 8gb ram,samsung,1,10099000
galaxy a02 sm-a022f/ds 64gb and 3gb ram,samsung,1,3099000
poco m3 pro 5g m2103k19pg 64gb and 4gb ram,xiaomi,1,5029000
galaxy s20 fe sm-g780 128gb and 8gb ram,samsung,1,12099000
redmi 9t m2010j19sg 128gb and 4gb ram,xiaomi,1,4375000
iphone 12 mini a2176 128gb,apple,1,23500000
poco x3 m2007j20cg 128gb,xiaomi,1,6699000
poco f3 5g m2012k11ag 128gb and 6gb ram,xiaomi,1,8585000
galaxy a22 sm-a226b/dsn 5g 64gb and 4gb ram,samsung,1,5349000
poco m3 pro 5g m2103k19pg 128gb and 6gb ram,xiaomi,1,6600000
9 m2004j19g 64gb,redmi,1,3999000
mi 11 lite m2101k9ag 128gb and 8gb ram,xiaomi,1,8249000
iphone 12 pro a2408 256gb and 6gb ram,apple,1,32900000
mi 11i 5g m2012k11g 256gb and 8gb ram,xiaomi,1,16139000
galaxy a72 sm-a725f/ds 256gb and 8gb ram,samsung,1,12999000
poco m3 m2010j19cg 64gb,xiaomi,1,4099000
galaxy note20 ultra 5g sm-n986 256gb,samsung,1,23980000
g10 ta-1334 64gb with 4gb ram,nokia,1,3050000
poco x3 nfc m2007j20cg 64gb and 6gb ram,xiaomi,1,5577000
redmi note 10 pro m2101k6g 128gb and 8gb ram,xiaomi,1,8660000
mi 11 m2011k2g 5g 256gb and 8gb ram,xiaomi,1,21499000
galaxy s20 plus 5g sm-g986b/ds 128gb and 12gb ram,samsung,1,17999000
galaxy a32 sm-a325f/ds 128gb and 8gb ram,samsung,1,6930000
galaxy s20 fe 5g sm-g781b/ds 256gb and 8gb ram,samsung,1,16150000
galaxy s20 fe 5g sm-g781b/ds 128gb and 8gb ram,samsung,1,14600000
mi 10t lite 5g m2007j17g 128gb and 6gb ram,xiaomi,1,7049000
galaxy a51 sm-a515f/dsn 128gb with 6gb ram,samsung,1,8132000
galaxy a02s sm-a025f/ds 64gb and 4gb ram,samsung,1,3799000
y8p aqm-lx1 128gb,huawei,1,4899000
galaxy a72 sm-a725f/ds 128gb and 8gb ram,samsung,1,12399000
mi 10t 5g m2007j3sy 128gb and 6gb ram,xiaomi,1,9299000
g20 ta-1365 128gb and 4gb ram,nokia,1,3780000
iphone 12 pro max a2412 512gb,apple,1,50790000
galaxy a32 5g sm-a326b/ds 128gb and 6gb ram,samsung,1,7299000
105 - 2019 ta-1174 ds,nokia,1,362000
galaxy z fold2 lte sm-f916b 256gb and 12gb ram,samsung,1,40359000
c1 ta-1165 16gb,nokia,1,1229000
note 9 m2003j15ss 128gb and 4gb ram,redmi,1,5400000
galaxy m12 sm-m127f/ds 32gb,samsung,1,4019000
galaxy s21 ultra 5g sm-g998b/ds 512gb and 16gb ram,samsung,1,35569000
iphone 12 pro 128gb a2408,apple,1,30400000
poco x3 pro m2102j20sg 256gb and 8gb ram,xiaomi,1,7499000
galaxy m31 sm-m315f/dsn 128gb and 6gb ram,samsung,1,6319000
galaxy a71 sm-a715f/ds 128gb and 8gb ram,samsung,1,10359000
nova 7i jny-lx1 128gb,huawei,1,5999000
iphone 12 pro max a2412 128gb and 6gb ram,apple,1,32990000
mi 11 lite 5g m2101k9g 128gb and 6gb ram,xiaomi,1,10299000
redmi note 8 2021 m1908c3jgg 64gb and 4gb ram,xiaomi,1,4649000
5.4 ta-1325 128gb and 4gb ram,nokia,1,3789000
